TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
mouse chr2 E3|2 55.18 cM	mouse chr2 E3|2 55.18 cM	0.0332133846215901	-3.40480233305061	1	1	0.0012453300124533	803	24177	19672	Rcn1
mouse chr1 G3|1 65.3 cM	mouse chr1 G3|1 65.3 cM	0.0332133846215901	-3.40480233305061	1	1	0.0012453300124533	803	24177	226519	Lamc1
mouse chr2 B|2 23.5 cM	mouse chr2 B|2 23.5 cM	0.0332133846215901	-3.40480233305061	1	1	0.0012453300124533	803	24177	227753	Gsn
mouse chr1 B|1 18.81 cM	mouse chr1 B|1 18.81 cM	0.0332133846215901	-3.40480233305061	1	1	0.0012453300124533	803	24177	16177	Il1r1
mouse chr19 C1|19 24.87 cM	mouse chr19 C1|19 24.87 cM	0.0332133846215901	-3.40480233305061	1	1	0.0012453300124533	803	24177	104174	Gldc
mouse chr15 F1|15 56.38 cM	mouse chr15 F1|15 56.38 cM	0.0332133846215901	-3.40480233305061	1	1	0.0012453300124533	803	24177	109901	Cela1
mouse chr4 D3|4 68.74 cM	mouse chr4 D3|4 68.74 cM	0.0332133846215901	-3.40480233305061	1	1	0.0012453300124533	803	24177	15552	Htr1d
mouse chr14 D3|14 39.37 cM	mouse chr14 D3|14 39.37 cM	0.0332133846215901	-3.40480233305061	1	1	0.0012453300124533	803	24177	15558	Htr2a
mouse chr17 A3.3|17 13.28 cM	mouse chr17 A3.3|17 13.28 cM	0.0332133846215901	-3.40480233305061	1	1	0.0012453300124533	803	24177	19252	Dusp1
mouse chr5 86.88 cM|5 G3	mouse chr5 86.88 cM|5 G3	0.0332133846215901	-3.40480233305061	1	1	0.0012453300124533	803	24177	14255	Flt3
mouse chr1 B|1 19.66 cM	mouse chr1 B|1 19.66 cM	0.0332133846215901	-3.40480233305061	1	1	0.0012453300124533	803	24177	226999	Slc9a2
mouse chr19 C1|19 29.33 cM	mouse chr19 C1|19 29.33 cM	0.0332133846215901	-3.40480233305061	1	1	0.0012453300124533	803	24177	52024	Ankrd22
mouse chr8 A2|8 11.48 cM	mouse chr8 A2|8 11.48 cM	0.0332133846215901	-3.40480233305061	1	1	0.0012453300124533	803	24177	20377	Sfrp1
mouse chr1 C4|1 40.97 cM	mouse chr1 C4|1 40.97 cM	0.0332133846215901	-3.40480233305061	1	1	0.0012453300124533	803	24177	20720	Serpine2
mouse chr10 B4|10 28.64 cM	mouse chr10 B4|10 28.64 cM	0.0332133846215901	-3.40480233305061	1	1	0.0012453300124533	803	24177	14609	Gja1
mouse chr16 C3.3|16 51.71 cM	mouse chr16 C3.3|16 51.71 cM	0.0332133846215901	-3.40480233305061	1	1	0.0012453300124533	803	24177	26559	Hunk
mouse chr17 A1|17 3.51 cM	mouse chr17 A1|17 3.51 cM	0.0332133846215901	-3.40480233305061	1	1	0.0012453300124533	803	24177	66616	Snx9
mouse chr17 E3|17 49.56 cM	mouse chr17 E3|17 49.56 cM	0.0332133846215901	-3.40480233305061	1	1	0.0012453300124533	803	24177	19106	Eif2ak2
mouse chr15 C|15 19.18 cM	mouse chr15 C|15 19.18 cM	0.0332133846215901	-3.40480233305061	1	1	0.0012453300124533	803	24177	83925	Trps1
mouse chr9 F1|9 57.98 cM	mouse chr9 F1|9 57.98 cM	0.0332133846215901	-3.40480233305061	1	1	0.0012453300124533	803	24177	74840	Manf
mouse chr1 H5|1 88.97 cM	mouse chr1 H5|1 88.97 cM	0.0332133846215901	-3.40480233305061	1	1	0.0012453300124533	803	24177	15284	Hlx
mouse chr11 E1|11 66.71 cM	mouse chr11 E1|11 66.71 cM	0.0332133846215901	-3.40480233305061	1	1	0.0012453300124533	803	24177	72469	Plcd3
mouse chr15 D1|15 21.96 cM	mouse chr15 D1|15 21.96 cM	0.0332133846215901	-3.40480233305061	1	1	0.0012453300124533	803	24177	97998	Deptor
mouse chr13 B2|13 31.92 cM	mouse chr13 B2|13 31.92 cM	0.0332133846215901	-3.40480233305061	1	1	0.0012453300124533	803	24177	14451	Gas1
mouse chr5 G2|5 81.84 cM	mouse chr5 G2|5 81.84 cM	0.0332133846215901	-3.40480233305061	1	1	0.0012453300124533	803	24177	14086	Fscn1
mouse chr19 A|19 4.07 cM	mouse chr19 A|19 4.07 cM	0.0332133846215901	-3.40480233305061	1	1	0.0012453300124533	803	24177	18563	Pcx
mouse chr8 A4|8 23.05 cM	mouse chr8 A4|8 23.05 cM	0.0332133846215901	-3.40480233305061	1	1	0.0012453300124533	803	24177	50768	Dlc1
mouse chr11 E2|11 77.27 cM	mouse chr11 E2|11 77.27 cM	0.0332133846215901	-3.40480233305061	1	1	0.0012453300124533	803	24177	20682	Sox9
mouse chr6 63.44 cM|6 F3	mouse chr6 63.44 cM|6 F3	0.0332133846215901	-3.40480233305061	1	1	0.0012453300124533	803	24177	654449	Klra14-ps
mouse chr5 F|5 56.41 cM	mouse chr5 F|5 56.41 cM	0.0332133846215901	-3.40480233305061	1	1	0.0012453300124533	803	24177	80888	Hspb8
mouse chr7 D2|7 44.88 cM	mouse chr7 D2|7 44.88 cM	0.0332133846215901	-3.40480233305061	1	1	0.0012453300124533	803	24177	11595	Acan
mouse chr3 H2|3 69.26 cM	mouse chr3 H2|3 69.26 cM	0.0332133846215901	-3.40480233305061	1	1	0.0012453300124533	803	24177	23844	Clca1
mouse chr5 G2|5 75.96 cM	mouse chr5 G2|5 75.96 cM	0.0332133846215901	-3.40480233305061	1	1	0.0012453300124533	803	24177	13047	Cux1
mouse chr4 70.57 cM|4 D3	mouse chr4 70.57 cM|4 D3	0.0332133846215901	-3.40480233305061	1	1	0.0012453300124533	803	24177	17965	Nbl1
mouse chr1 H3|1 78.8 cM	mouse chr1 H3|1 78.8 cM	0.0332133846215901	-3.40480233305061	1	1	0.0012453300124533	803	24177	14131	Fcgr3
mouse chr5 C1|5 29.37 cM	mouse chr5 C1|5 29.37 cM	0.0332133846215901	-3.40480233305061	1	1	0.0012453300124533	803	24177	19664	Rbpj
mouse chr18 4.42 cM|18 A1	mouse chr18 4.42 cM|18 A1	0.0332133846215901	-3.40480233305061	1	1	0.0012453300124533	803	24177	21417	Zeb1
mouse chrX F5|X 78.28 cM	mouse chrX F5|X 78.28 cM	0.0332133846215901	-3.40480233305061	1	1	0.0012453300124533	803	24177	19241	Tmsb4x
mouse chr8 A2|8 13.7 cM	mouse chr8 A2|8 13.7 cM	0.0332133846215901	-3.40480233305061	1	1	0.0012453300124533	803	24177	11502	Adam9
mouse chr4 D3|4 67.19 cM	mouse chr4 D3|4 67.19 cM	0.0332133846215901	-3.40480233305061	1	1	0.0012453300124533	803	24177	12399	Runx3
mouse chr13 A3.1|13 9.72 cM	mouse chr13 A3.1|13 9.72 cM	0.0332133846215901	-3.40480233305061	1	1	0.0012453300124533	803	24177	12231	Btn1a1
mouse chr12|12 B3-C1	mouse chr12|12 B3-C1	0.0332133846215901	-3.40480233305061	1	1	0.0012453300124533	803	24177	320487	Heatr5a
mouse chr9 F1|9 58.69 cM	mouse chr9 F1|9 58.69 cM	0.0332133846215901	-3.40480233305061	1	1	0.0012453300124533	803	24177	76257	Slc38a3
mouse chr9 F2|9 60.56 cM	mouse chr9 F2|9 60.56 cM	0.0332133846215901	-3.40480233305061	1	1	0.0012453300124533	803	24177	19228	Pth1r
mouse chr18 A2|18 11.42 cM	mouse chr18 A2|18 11.42 cM	0.0332133846215901	-3.40480233305061	1	1	0.0012453300124533	803	24177	13511	Dsg2
mouse chr13 A3.2|13 13.78 cM	mouse chr13 A3.2|13 13.78 cM	0.0332133846215901	-3.40480233305061	1	1	0.0012453300124533	803	24177	20708	Serpinb6b
mouse chr4 D3|4 73.67 cM	mouse chr4 D3|4 73.67 cM	0.0332133846215901	-3.40480233305061	1	1	0.0012453300124533	803	24177	13836	Epha2
mouse chr11 B1.3|11 30.46 cM	mouse chr11 B1.3|11 30.46 cM	0.0332133846215901	-3.40480233305061	1	1	0.0012453300124533	803	24177	12330	Canx
mouse chrX F1|X 61.15 cM	mouse chrX F1|X 61.15 cM	0.0332133846215901	-3.40480233305061	1	1	0.0012453300124533	803	24177	27206	Nrk
mouse chr15 D3|15 34.26 cM	mouse chr15 D3|15 34.26 cM	0.0332133846215901	-3.40480233305061	1	1	0.0012453300124533	803	24177	16469	Jrk
mouse chr2 A3|2 17.28 cM	mouse chr2 A3|2 17.28 cM	0.0332133846215901	-3.40480233305061	1	1	0.0012453300124533	803	24177	19215	Ptgds
mouse chrX|X A4-A5	mouse chrX|X A4-A5	0.0332133846215901	-3.40480233305061	1	1	0.0012453300124533	803	24177	93761	Smarca1
mouse chr2 G3|2 73.48 cM	mouse chr2 G3|2 73.48 cM	0.0332133846215901	-3.40480233305061	1	1	0.0012453300124533	803	24177	17064	Cd93
mouse chr8 C3|8 43.06 cM	mouse chr8 C3|8 43.06 cM	0.0332133846215901	-3.40480233305061	1	1	0.0012453300124533	803	24177	11513	Adcy7
mouse chr12 D1|12 39.0 cM	mouse chr12 D1|12 39.0 cM	0.0332133846215901	-3.40480233305061	1	1	0.0012453300124533	803	24177	26897	Acot1
mouse chr4 A3|4 10.59 cM	mouse chr4 A3|4 10.59 cM	0.0332133846215901	-3.40480233305061	1	1	0.0012453300124533	803	24177	14348	Fut9
mouse chr12 E|12 49.83 cM	mouse chr12 E|12 49.83 cM	0.0332133846215901	-3.40480233305061	1	1	0.0012453300124533	803	24177	14420	Galc
mouse chr13 A1|13 5.18 cM	mouse chr13 A1|13 5.18 cM	0.0332133846215901	-3.40480233305061	1	1	0.0012453300124533	803	24177	18811	Prl2c2
mouse chr1 H2.2|1 71.42 cM	mouse chr1 H2.2|1 71.42 cM	0.0332133846215901	-3.40480233305061	1	1	0.0012453300124533	803	24177	20344	Selp
mouse chr13 B2|13 32.56 cM	mouse chr13 B2|13 32.56 cM	0.0332133846215901	-3.40480233305061	1	1	0.0012453300124533	803	24177	13024	Ctla2a
mouse chr1 B|1 19.19 cM	mouse chr1 B|1 19.19 cM	0.0332133846215901	-3.40480233305061	1	1	0.0012453300124533	803	24177	17082	Il1rl1
mouse chr2 H4|2 102.85 cM	mouse chr2 H4|2 102.85 cM	0.0332133846215901	-3.40480233305061	1	1	0.0012453300124533	803	24177	14464	Gata5
mouse chr13 A3.1|13 12.62 cM	mouse chr13 A3.1|13 12.62 cM	0.0332133846215901	-3.40480233305061	1	1	0.0012453300124533	803	24177	56635	Prl2a1
mouse chr17 B2|17 19.47 cM	mouse chr17 B2|17 19.47 cM	0.0332133846215901	-3.40480233305061	1	1	0.0012453300124533	803	24177	11571	Crisp1
mouse chr2 B|2 21.75 cM	mouse chr2 B|2 21.75 cM	0.0332133846215901	-3.40480233305061	1	1	0.0012453300124533	803	24177	64292	Ptges
mouse chr8 A1.1|8 6.29 cM	mouse chr8 A1.1|8 6.29 cM	0.0332133846215901	-3.40480233305061	1	1	0.0012453300124533	803	24177	19414	Rasa3
mouse chr7 F3|7 69.83 cM	mouse chr7 F3|7 69.83 cM	0.0332133846215901	-3.40480233305061	1	1	0.0012453300124533	803	24177	67773	Kat8
mouse chr17 A3.3|17 12.48 cM	mouse chr17 A3.3|17 12.48 cM	0.0332133846215901	-3.40480233305061	1	1	0.0012453300124533	803	24177	11692	Gfer
mouse chr4 A1|4 5.34 cM	mouse chr4 A1|4 5.34 cM	0.0332133846215901	-3.40480233305061	1	1	0.0012453300124533	803	24177	14579	Gem
mouse chr19 C3|19 35.33 cM	mouse chr19 C3|19 35.33 cM	0.0332133846215901	-3.40480233305061	1	1	0.0012453300124533	803	24177	212398	Frat2
mouse chr1 B|1 19.51 cM	mouse chr1 B|1 19.51 cM	0.0332133846215901	-3.40480233305061	1	1	0.0012453300124533	803	24177	110895	Slc9a4
mouse chr3 G3|3 64.13 cM	mouse chr3 G3|3 64.13 cM	0.0332133846215901	-3.40480233305061	1	1	0.0012453300124533	803	24177	11529	Adh7
mouse chr17 B1|17 17.37 cM	mouse chr17 B1|17 17.37 cM	0.0332133846215901	-3.40480233305061	1	1	0.0012453300124533	803	24177	18131	Notch3
mouse chr6 G1|6 66.07 cM	mouse chr6 G1|6 66.07 cM	0.0332133846215901	-3.40480233305061	1	1	0.0012453300124533	803	24177	14840	Gsg1
mouse chr16 C4|16 57.51 cM	mouse chr16 C4|16 57.51 cM	0.0332133846215901	-3.40480233305061	1	1	0.0012453300124533	803	24177	17858	Mx2
mouse chr7 E1|7 52.53 cM	mouse chr7 E1|7 52.53 cM	0.0332133846215901	-3.40480233305061	1	1	0.0012453300124533	803	24177	23966	Tenm4
mouse chr14 C1|14 26.37 cM	mouse chr14 C1|14 26.37 cM	0.0332133846215901	-3.40480233305061	1	1	0.0012453300124533	803	24177	11727	Ang
mouse chr10 D3|10 77.2 cM	mouse chr10 D3|10 77.2 cM	0.0332133846215901	-3.40480233305061	1	1	0.0012453300124533	803	24177	16404	Itga7
mouse chr12 A1.1|12 3.53 cM	mouse chr12 A1.1|12 3.53 cM	0.0332133846215901	-3.40480233305061	1	1	0.0012453300124533	803	24177	238055	Apob
mouse chr5 F|5 61.99 cM	mouse chr5 F|5 61.99 cM	0.0332133846215901	-3.40480233305061	1	1	0.0012453300124533	803	24177	16923	Sh2b3
mouse chr8 C5|8 46.29 cM	mouse chr8 C5|8 46.29 cM	0.0332133846215901	-3.40480233305061	1	1	0.0012453300124533	803	24177	17751	Mt3
mouse chr9 70.21 cM|9 F3	mouse chr9 70.21 cM|9 F3	0.0332133846215901	-3.40480233305061	1	1	0.0012453300124533	803	24177	13813	Eomes
mouse chr2 H3|2 95.54 cM	mouse chr2 H3|2 95.54 cM	0.0332133846215901	-3.40480233305061	1	1	0.0012453300124533	803	24177	12162	Bmp7
mouse chr3 F2.3|3 46.53 cM	mouse chr3 F2.3|3 46.53 cM	0.0332133846215901	-3.40480233305061	1	1	0.0012453300124533	803	24177	12508	Cd53
mouse chr8 B1.1|8 26.91 cM	mouse chr8 B1.1|8 26.91 cM	0.0332133846215901	-3.40480233305061	1	1	0.0012453300124533	803	24177	52357	Wwc2
mouse chr4 E2|4 78.68 cM	mouse chr4 E2|4 78.68 cM	0.0332133846215901	-3.40480233305061	1	1	0.0012453300124533	803	24177	230904	Fbxo2
